,noc_code,position,low_wage,median_wage,high_wage,position_detail_link
28,(12102),Procurement and purchasing agents and officers     ,24.67,35.0,48.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/540/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
29,(12103),Conference and event planners     ,20.0,27.0,38.94,https://www.jobbank.gc.ca/marketreport/wages-occupation/12542/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
30,(12104),Employment insurance and revenue officers     ,26.0,34.0,51.28,https://www.jobbank.gc.ca/marketreport/wages-occupation/584/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
31,(12110),"Court reporters, medical transcriptionists and related occupations     ",18.75,26.67,30.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/1575/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
32,(12111),Health information management occupations     ,29.0,31.41,53.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/25617/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
33,(12112),Records management technicians     ,24.5,31.9,36.41,https://www.jobbank.gc.ca/marketreport/wages-occupation/26664/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
34,(12113),Statistical officers and related research support occupations     ,17.4,30.52,52.05,https://www.jobbank.gc.ca/marketreport/wages-occupation/26400/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
35,(12200),Accounting technicians and bookkeepers     ,19.0,27.0,44.62,https://www.jobbank.gc.ca/marketreport/wages-occupation/24500/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
36,(12201),Insurance adjusters and claims examiners     ,29.0,39.9,52.38,https://www.jobbank.gc.ca/marketreport/wages-occupation/12581/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
37,(12202),Insurance underwriters     ,29.81,37.5,62.5,https://www.jobbank.gc.ca/marketreport/wages-occupation/665/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
38,(12203),"Assessors, business valuators and appraisers     ",22.73,42.96,57.69,https://www.jobbank.gc.ca/marketreport/wages-occupation/870/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
